scenario_id,scenario_display_id,boundary_height,subsidy_before_rin,subsidy_after_rin,required_additional_fee_base_units_per_block,required_additional_fee_rin_per_block,interpretation
S1,S1,37590000,0.00078969,0.00075020,3949,0.00003949,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,37800000,0.00075020,0.00071269,3751,0.00003751,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,38010000,0.00071269,0.00067705,3564,0.00003564,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,38220000,0.00067705,0.00064319,3386,0.00003386,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,38430000,0.00064319,0.00061103,3216,0.00003216,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,38640000,0.00061103,0.00058047,3056,0.00003056,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,38850000,0.00058047,0.00055144,2903,0.00002903,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,39060000,0.00055144,0.00052386,2758,0.00002758,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,39270000,0.00052386,0.00049766,2620,0.00002620,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,39480000,0.00049766,0.00047277,2489,0.00002489,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,39690000,0.00047277,0.00044913,2364,0.00002364,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,39900000,0.00044913,0.00042667,2246,0.00002246,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,40110000,0.00042667,0.00040533,2134,0.00002134,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,40320000,0.00040533,0.00038506,2027,0.00002027,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,40530000,0.00038506,0.00036580,1926,0.00001926,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,40740000,0.00036580,0.00034751,1829,0.00001829,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,40950000,0.00034751,0.00033013,1738,0.00001738,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,41160000,0.00033013,0.00031362,1651,0.00001651,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,41370000,0.00031362,0.00029793,1569,0.00001569,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,41580000,0.00029793,0.00028303,1490,0.00001490,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,41790000,0.00028303,0.00026887,1416,0.00001416,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,42000000,0.00026887,0.00025542,1345,0.00001345,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,42210000,0.00025542,0.00024264,1278,0.00001278,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,42420000,0.00024264,0.00023050,1214,0.00001214,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,42630000,0.00023050,0.00021897,1153,0.00001153,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,42840000,0.00021897,0.00020802,1095,0.00001095,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,43050000,0.00020802,0.00019761,1041,0.00001041,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,43260000,0.00019761,0.00018772,989,0.00000989,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,43470000,0.00018772,0.00017833,939,0.00000939,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,43680000,0.00017833,0.00016941,892,0.00000892,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,43890000,0.00016941,0.00016093,848,0.00000848,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,44100000,0.00016093,0.00015288,805,0.00000805,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,44310000,0.00015288,0.00014523,765,0.00000765,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,44520000,0.00014523,0.00013796,727,0.00000727,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,44730000,0.00013796,0.00013106,690,0.00000690,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,44940000,0.00013106,0.00012450,656,0.00000656,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,45150000,0.00012450,0.00011827,623,0.00000623,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,45360000,0.00011827,0.00011235,592,0.00000592,fee increase needed to hold nominal RIN/block revenue unchanged
