scenario_id,scenario_display_id,horizon_years,height,price_path,fee_case,hardware_class,subsidy_base_units,fee_base_units_per_block,fee_share_of_gross_rin_revenue_pct,annual_gross_miner_revenue_rin,normalized_price_index,liquidity_realization_pct,annual_gross_miner_revenue_value_index,annual_realizable_miner_revenue_value_index,normalized_annual_break_even_cost,break_even_price_index,normalized_sustainable_hashrate_index,interpretation
S0,S0,5,3468000,flat,base,high_cost,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.90000000,0.00222699,449.03605824,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,high,reference,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.70000000,0.00040730,2455.22012019,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,high,efficient,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.58000000,0.00033747,2963.19669679,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,high,high_cost,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.90000000,0.00052367,1909.61564904,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,low,reference,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.70000000,0.00220411,525.96072367,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,low,efficient,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.58000000,0.00182626,634.78018374,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,low,high_cost,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.90000000,0.00283385,409.08056286,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,base,reference,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.70000000,0.00194862,594.92098371,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,base,efficient,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.58000000,0.00161457,718.00808378,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,base,high_cost,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.90000000,0.00250537,462.71632066,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,high,reference,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.70000000,0.00045821,2530.02047293,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,high,efficient,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.58000000,0.00037966,3053.47298457,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,growth,high,high_cost,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.90000000,0.00058912,1967.79370116,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,low,reference,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.70000000,21.35339528,0.02803943,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,low,efficient,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.58000000,17.69281323,0.03384069,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,low,high_cost,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.90000000,27.45436535,0.02180844,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,base,reference,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.70000000,0.01919502,31.19230329,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,base,efficient,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.58000000,0.01590445,37.64588328,revenue-supported normalized cost units; not measured hashrate
S0,S0,10,6096000,stress,base,high_cost,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.90000000,0.02467931,24.26068034,revenue-supported normalized cost units; not measured hashrate
