scenario_id,scenario_display_id,scenario_name,horizon_label,horizon_years_after_activation,height,subsidy_base_units,subsidy_rin_display,next_year_issuance_base_units,next_year_issuance_rin_display,next_year_issuance_pct_of_scheduled_supply,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,remaining_scheduled_issuance_base_units,remaining_scheduled_issuance_rin_display,maximum_supply_ceiling_remaining_base_units,maximum_supply_ceiling_remaining_rin_display
S6a,S6/a,Customized Halving study scenario I,activation,0.00000000,840000,400000000,4.00000000,210240000000000,2102400.00000000,10.67885714,1968750000000000,19687500.00000000,14831250000000000,148312500.00000000,14831250000000000,148312500.00000000
S6a,S6/a,Customized Halving study scenario I,1 year,1.00000000,1365600,400000000,4.00000000,210240000000000,2102400.00000000,9.64850688,2178990000000000,21789900.00000000,14621010000000000,146210100.00000000,14621010000000000,146210100.00000000
S6a,S6/a,Customized Halving study scenario I,2 years,2.00000000,1891200,400000000,4.00000000,146880000000000,1468800.00000000,6.14758730,2389230000000000,23892300.00000000,14410770000000000,144107700.00000000,14410770000000000,144107700.00000000
S6a,S6/a,Customized Halving study scenario I,5 years,5.00000000,3468000,200000000,2.00000000,105120000000000,1051200.00000000,3.82762576,2746350000000000,27463500.00000000,14053650000000000,140536500.00000000,14053650000000000,140536500.00000000
S6a,S6/a,Customized Halving study scenario I,10 years,10.00000000,6096000,100000000,1.00000000,36480000000000,364800.00000000,1.18351258,3082350000000000,30823500.00000000,13717650000000000,137176500.00000000,13717650000000000,137176500.00000000
S6a,S6/a,Customized Halving study scenario I,25 years,25.00000000,13980000,50000000,0.50000000,26280000000000,262800.00000000,0.75371048,3486750000000000,34867500.00000000,13313250000000000,133132500.00000000,13313250000000000,133132500.00000000
S6a,S6/a,Customized Halving study scenario I,50 years,50.00000000,27120000,50000000,0.50000000,26280000000000,262800.00000000,0.63420814,4143750000000000,41437500.00000000,12656250000000000,126562500.00000000,12656250000000000,126562500.00000000
S6a,S6/a,Customized Halving study scenario I,100 years,100.00000000,53400000,50000000,0.50000000,26280000000000,262800.00000000,0.48151711,5457750000000000,54577500.00000000,11342250000000000,113422500.00000000,11342250000000000,113422500.00000000
S6a,S6/a,Customized Halving study scenario I,200 years,200.00000000,105960000,50000000,0.50000000,26280000000000,262800.00000000,0.32501623,8085750000000000,80857500.00000000,8714250000000000,87142500.00000000,8714250000000000,87142500.00000000
S6a,S6/a,Customized Halving study scenario I,250 years,250.00000000,132240000,50000000,0.50000000,26280000000000,262800.00000000,0.27958190,9399750000000000,93997500.00000000,7400250000000000,74002500.00000000,7400250000000000,74002500.00000000
S6a,S6/a,Customized Halving study scenario I,500 years,500.00000000,263640000,50000000,0.50000000,26280000000000,262800.00000000,0.16456112,15969750000000000,159697500.00000000,830250000000000,8302500.00000000,830250000000000,8302500.00000000
