scenario_id,scenario_display_id,scenario_name,height,subsidy_base_units,subsidy_rin_display,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,note
S4,S4,Idealized 113/114 cap-derived geometric schedule,177659999,374955,0.00374955,16791092378385045,167910923.78385045,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,177660000,371665,0.00371665,16791092378760000,167910923.78760000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,177660001,371665,0.00371665,16791092379131665,167910923.79131665,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,177869999,371665,0.00371665,16791170428038335,167911704.28038335,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,177870000,368404,0.00368404,16791170428410000,167911704.28410000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,177870001,368404,0.00368404,16791170428778404,167911704.28778404,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178079999,368404,0.00368404,16791247792881596,167912477.92881596,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178080000,365172,0.00365172,16791247793250000,167912477.93250000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178080001,365172,0.00365172,16791247793615172,167912477.93615172,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178289999,365172,0.00365172,16791324479004828,167913244.79004828,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178290000,361968,0.00361968,16791324479370000,167913244.79370000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178290001,361968,0.00361968,16791324479731968,167913244.79731968,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178499999,361968,0.00361968,16791400492288032,167914004.92288032,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178500000,358792,0.00358792,16791400492650000,167914004.92650000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178500001,358792,0.00358792,16791400493008792,167914004.93008792,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178709999,358792,0.00358792,16791475838611208,167914758.38611208,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178710000,355644,0.00355644,16791475838970000,167914758.38970000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178710001,355644,0.00355644,16791475839325644,167914758.39325644,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178919999,355644,0.00355644,16791550523854356,167915505.23854356,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178920000,352524,0.00352524,16791550524210000,167915505.24210000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,178920001,352524,0.00352524,16791550524562524,167915505.24562524,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179129999,352524,0.00352524,16791624553897476,167916245.53897476,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179130000,349431,0.00349431,16791624554250000,167916245.54250000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179130001,349431,0.00349431,16791624554599431,167916245.54599431,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179339999,349431,0.00349431,16791697934410569,167916979.34410569,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179340000,346365,0.00346365,16791697934760000,167916979.34760000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179340001,346365,0.00346365,16791697935106365,167916979.35106365,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,179549999,346365,0.00346365,16791770671063635,167917706.71063635,boundary probe
